Date,Task,Quantity,Desc,Start Time,End Time,Who,First Name,Last Name,Spots/Items,Comment,Hours tracking,Email,Phone,Signup Time (GMT)
2015-07-04,Supervisor AM,2,"",8:00 am,12:00 pm,Super A,Super A,,1,"",4.0,supera.10000@yahoo.com,9786212724,2015-07-02 16:40:07
2015-07-04,Supervisor AM,2,"",8:00 am,12:00 pm,Super B,Super B,,1,"",4.0,superb.10000@yahoo.com,9786212724,2015-07-02 16:42:22
2015-07-04,Supervisor PM,2,"",12:30 pm,5:00 pm,Super A,Super A,,1,"",4.5,supera.10000@yahoo.com,9786212724,2015-07-02 16:40:09
2015-07-04,Supervisor PM,2,"",12:30 pm,5:00 pm,Super B,Super B,,1,"",4.5,superb.10000@yahoo.com,9786212724,2015-07-02 16:42:24
2015-07-05,Supervisor AM,2,"",8:00 am,12:00 pm,Super A,Super A,,1,"",4.0,supera.10000@yahoo.com,9786212724,2015-07-02 16:40:14
2015-07-05,Supervisor AM,2,"",8:00 am,12:00 pm,Super C,Super C,,1,"",4.0,superc.10000@yahoo.com,9786212724,2015-07-02 16:43:24
2015-07-05,Supervisor PM,2,"",12:30 pm,5:00 pm,Super A,Super A,,1,"",4.5,supera.10000@yahoo.com,9786212724,2015-07-02 16:40:16
2015-07-06,Supervisor AM,2,"",8:00 am,12:00 pm,Super B,Super B,,1,"",4.0,superb.10000@yahoo.com,9786212724,2015-07-02 16:42:19
2015-07-06,Supervisor AM,2,"",8:00 am,12:00 pm,Super C,Super C,,1,"",4.0,superc.10000@yahoo.com,9786212724,2015-07-02 16:43:25
2015-07-06,Supervisor PM,2,"",12:30 pm,5:00 pm,Super B,Super B,,1,"",4.5,superb.10000@yahoo.com,9786212724,2015-07-02 16:42:21
2015-07-06,Supervisor PM,2,"",12:30 pm,5:00 pm,Super C,Super C,,1,"",4.5,superc.10000@yahoo.com,9786212724,2015-07-02 16:43:26
